Stage pairs after splitting blocks and deduplication: 84703
Starting Stage 2 training with block-split abstracts on fresh model...
 [3913/3972 2:11:53 < 01:59, 0.49 it/s, Epoch 2.95/3]
Step	Training Loss
100	2.237400
200	1.940100
300	1.787700
400	1.670500
500	1.475700
600	1.397700
700	1.205600
800	1.177200
900	1.077700
1000	0.969800
1100	0.902300
1200	0.818600
1300	0.786500
1400	0.552300
1500	0.477700
1600	0.451100
1700	0.421200
1800	0.428700
1900	0.421200
2000	0.396100
2100	0.373100
2200	0.369600
2300	0.349100
2400	0.324900
2500	0.327300
2600	0.306000
2700	0.239900
2800	0.207200
2900	0.208200
3000	0.216600
3100	0.197700
3200	0.178800
3300	0.190800
3400	0.188300
3500	0.183500
3600	0.181100
3700	0.193000
3800	0.180200
3900	0.174800
