Using device: cuda
/kaggle/input/queries/generated_queries_all (3).tsv already exists, skipping generation.
Loaded training pairs: 35603
 [3339/3339 47:33, Epoch 3/3]
Step	Training Loss
100	1.469100
200	1.354400
300	1.174700
400	1.102800
500	1.010700
600	0.947300
700	0.910200
800	0.835400
900	0.831100
1000	0.764100
1100	0.741300
1200	0.437600
1300	0.367000
1400	0.350800
1500	0.346700
1600	0.334700
1700	0.351100
1800	0.333300
1900	0.339000
2000	0.335200
2100	0.319400
2200	0.301700
2300	0.213500
2400	0.183000
2500	0.163600
2600	0.168100
2700	0.163500
2800	0.159800
2900	0.155000
3000	0.163900
3100	0.157000
3200	0.174600
3300	0.144700
