Using device: cuda
Loaded training pairs (SR): 32184
Starting BERTIC SR training...
 [3018/3018 43:05, Epoch 3/3]
Step	Training Loss
100	7.026600
200	5.643200
300	5.149800
400	4.942800
500	4.516300
600	4.525300
700	4.100200
800	4.004000
900	3.770600
1000	3.758500
1100	2.926400
1200	2.967700
1300	2.967600
1400	2.895100
1500	2.739300
1600	2.727300
1700	2.657800
1800	2.646700
1900	2.512600
2000	2.498500
2100	1.964600
2200	1.910700
2300	1.918000
2400	1.904800
2500	1.946300
2600	1.849900
2700	1.801400
2800	1.787200
2900	1.775000
3000	1.864500
